price,title,url,area_m2,typology,location
2000,"Duplex na Rua Comandante Assis Camilo, 1, Centro da Ajuda, Ajuda",https://www.idealista.pt/imovel/33938442/,95,,"Rua Comandante Assis Camilo, 1, Centro da Ajuda, Ajuda"
1300,"Apartamento T2 na Rua de Dom Vasco, 43, Centro da Ajuda, Ajuda",https://www.idealista.pt/imovel/34837132/,75,T2,"Rua de Dom Vasco, 43, Centro da Ajuda, Ajuda"
1400,"Apartamento T2 na Rua da bica do marques, 17, Centro da Ajuda, Ajuda",https://www.idealista.pt/imovel/33011564/,64,T2,"Rua da bica do marques, 17, Centro da Ajuda, Ajuda"
1600,"Apartamento T1 no Largo Rio Seco, 1, Boa Hora, Ajuda",https://www.idealista.pt/imovel/31757125/,50,T1,
1400,"Apartamento T2 na Rua Nova do Calhariz, 36, Centro da Ajuda, Ajuda",https://www.idealista.pt/imovel/32538014/,75,T2,"Rua Nova do Calhariz, 36, Centro da Ajuda, Ajuda"
1200,"Apartamento T2 na Rua Dom João de Castro, 13, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34781854/,65,T2,"Rua Dom João de Castro, 13, Rio Seco - Casalinho, Ajuda"
1250,"Apartamento T2,  Calçada da Ajuda, 137, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/32441554/,70,T2,
1450,"Andar de moradia na Rua 7, 182, Alto da Ajuda, Ajuda",https://www.idealista.pt/imovel/34818476/,92,,"Rua 7, 182, Alto da Ajuda, Ajuda"
1600,"Moradia geminada,  R. Particular à Rua do Cruzeiro, 1, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34679427/,60,,
750,"Apartamento T0 na Rua das Chaminés D'El-Rei, 39, Caramão da Ajuda, Ajuda",https://www.idealista.pt/imovel/34575941/,25,T0,"Rua das Chaminés D'El-Rei, 39, Caramão da Ajuda, Ajuda"
1250,"Apartamento T2 na Travessa das Florindas, 21, Boa Hora, Ajuda",https://www.idealista.pt/imovel/33354211/,80,T2,"Travessa das Florindas, 21, Boa Hora, Ajuda"
1250,"Apartamento T2 na Travessa das Florindas, 21, Boa Hora, Ajuda",https://www.idealista.pt/imovel/34739192/,80,T2,"Travessa das Florindas, 21, Boa Hora, Ajuda"
1700,"Apartamento T3 na Travessa Moinho Velho, 7, Boa Hora, Ajuda",https://www.idealista.pt/imovel/34501234/,88,T3,"Travessa Moinho Velho, 7, Boa Hora, Ajuda"
1400,"Andar de moradia em Alto da Ajuda, Ajuda",https://www.idealista.pt/imovel/34861352/,122,,
