price,title,url,area_m2,typology,location,source_file,price_per_m2,furnished,balcony,terrace,ac,elevator,parking,kitchen_equipped,renovated,bills_included,bathrooms,bedrooms,value_score,coords,distance_to_work_km,distance_to_school_km,distance_score,total_score,price_score,area_score,distance_work_score
850,"Apartamento T2 em Centro da Ajuda, Ajuda",https://www.idealista.pt/imovel/33795030/,54,T2,,data/lisboa_ajuda_listings.csv,15.74074074074074,False,False,False,False,,False,False,False,False,,,42.25925925925926,,,,0.0,42.25925925925926,1.0,1.8,
1100,"Apartamento T1 na Rua Arco do Carvalhão, Centro, Campolide",https://www.idealista.pt/imovel/34797595/,80,T1,"Rua Arco do Carvalhão, Centro, Campolide",data/lisboa_campolide_listings.csv,13.75,False,False,False,False,,False,False,False,False,,,41.25,,,,0.0,41.25,3.8,4.9,
950,"Apartamento T1 na Rua Indústria, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/30166333/,60,T1,"Rua Indústria, Alto de Santo Amaro, Alcântara",data/lisboa_alcantara_listings.csv,15.833333333333334,False,False,False,False,,False,False,False,False,,,39.16666666666666,,,,0.0,39.16666666666666,1.6,4.1,
1100,"Apartamento T1 na Rua Professor Sousa da Câmara, Centro, Campolide",https://www.idealista.pt/imovel/34796095/,65,T1,"Rua Professor Sousa da Câmara, Centro, Campolide",data/lisboa_campolide_listings.csv,16.923076923076923,False,False,False,False,,False,False,False,False,,,38.07692307692308,,,,0.0,38.07692307692308,3.8,4.6,
1100,"Apartamento T2 na Travessa do Gibraltar, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/34839733/,55,T2,"Travessa do Gibraltar, Alvito - Quinta do Jacinto, Alcântara",data/lisboa_alcantara_listings.csv,20.0,False,False,False,False,,False,False,False,False,,,38.0,,,,0.0,38.0,4.6,2.6,
1100,"Apartamento T1 na Rua de Campolide, 152, Centro, Campolide",https://www.idealista.pt/imovel/34860028/,61,T1,"Rua de Campolide, 152, Centro, Campolide",data/lisboa_campolide_listings.csv,18.0327868852459,False,False,False,False,,False,False,False,False,,,36.9672131147541,,,,0.0,36.9672131147541,3.8,4.4,
1150,"Andar de moradia,  Vila Maria, Centro, Campolide",https://www.idealista.pt/imovel/34842350/,60,,,data/lisboa_campolide_listings.csv,19.166666666666668,False,False,False,False,,False,False,False,False,,,35.83333333333333,,,,0.0,35.83333333333333,,,
1100,"Apartamento T1 na Rua Conde das Antas, Centro, Campolide",https://www.idealista.pt/imovel/34786339/,56,T1,"Rua Conde das Antas, Centro, Campolide",data/lisboa_campolide_listings.csv,19.642857142857142,False,False,False,False,,False,False,False,False,,,33.35714285714286,,,,0.0,33.35714285714286,3.8,3.8,
1000,"Apartamento T1 na Rua Arco do Carvalhão, 35, Centro, Campolide",https://www.idealista.pt/imovel/33018222/,50,T1,"Rua Arco do Carvalhão, 35, Centro, Campolide",data/lisboa_campolide_listings.csv,20.0,False,False,False,False,,False,False,False,False,,,33.0,,,,0.0,33.0,2.4,3.2,
1139,"Apartamento T1 no Beco João Alves, 4, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34839454/,55,T1,,data/lisboa_ajuda_listings.csv,20.70909090909091,False,False,False,False,,False,False,False,False,,,32.29090909090909,,,,0.0,32.29090909090909,4.4,3.5,
1100,"Apartamento T0,  Calçada da Quintinha, Bairro Calçada dos Mestres, Campolide",https://www.idealista.pt/imovel/34739904/,53,T0,,data/lisboa_campolide_listings.csv,20.75471698113208,False,False,False,False,,False,False,False,False,,,32.24528301886792,,,,0.0,32.24528301886792,4.3,4.9,
1173,"Apartamento T1 no Beco João Alves, 4, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34844873/,55,T1,,data/lisboa_ajuda_listings.csv,21.327272727272728,False,False,False,False,,False,False,False,False,,,31.672727272727272,,,,0.0,31.672727272727272,4.8,3.5,
1150,"Apartamento T0,  Calçada da Quintinha, Bairro Calçada dos Mestres, Campolide",https://www.idealista.pt/imovel/34449712/,53,T0,,data/lisboa_campolide_listings.csv,21.69811320754717,False,False,False,False,,False,False,False,False,,,31.30188679245283,,,,0.0,31.30188679245283,4.8,4.9,
