price,title,url,typology,area_m2,location
1450,"Apartamento T2 na Rua Aliança Operária, 14, Alto de Alcântara, Alcântara",https://www.idealista.pt/imovel/34814243/,T2,84,"Rua Aliança Operária, 14, Alto de Alcântara, Alcântara"
1700,"Apartamento T2 na Rua dos Lusíadas, 57, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34835072/,T2,120,"Rua dos Lusíadas, 57, Alto de Santo Amaro, Alcântara"
1200,"Apartamento T1 na Rua Artur Lamas, 36, Junqueira, Alcântara",https://www.idealista.pt/imovel/31162484/,T1,59,"Rua Artur Lamas, 36, Junqueira, Alcântara"
1600,"Apartamento T1 na Rua Pedro Calmon, 18, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34314477/,T1,90,"Rua Pedro Calmon, 18, Alto de Santo Amaro, Alcântara"
660,"Apartamento T0 no Bairro do Alvito, 47, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/31376270/,T0,15,
950,"Apartamento T1 na Travessa São Jerónimo, 2, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/31161260/,T1,45,"Travessa São Jerónimo, 2, Alvito - Quinta do Jacinto, Alcântara"
1525,"Apartamento T1 na Rua Cruz a Alcântara, 91, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/32500788/,T1,53,"Rua Cruz a Alcântara, 91, Alvito - Quinta do Jacinto, Alcântara"
1680,"Apartamento T0 na Rua Rodrigues de Faria, 39, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/32586782/,T0,30,"Rua Rodrigues de Faria, 39, Largo do Calvário - Lx Factory, Alcântara"
2400,"Apartamento T3 na Rua de Cascais, 31, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34640758/,T3,120,"Rua de Cascais, 31, Largo do Calvário - Lx Factory, Alcântara"
1700,"Apartamento T3 na Rua Aliança Operária, Alto de Alcântara, Alcântara",https://www.idealista.pt/imovel/34805641/,T3,90,"Rua Aliança Operária, Alto de Alcântara, Alcântara"
1400,"Moradia independente na Travessa do Sebeiro, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/34679547/,,85,"Travessa do Sebeiro, Alvito - Quinta do Jacinto, Alcântara"
1100,"Apartamento T2 na Travessa do Gibraltar, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/34839733/,T2,55,"Travessa do Gibraltar, Alvito - Quinta do Jacinto, Alcântara"
1700,"Apartamento T1 na Rua Jau, 14, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34775334/,T1,60,"Rua Jau, 14, Alto de Santo Amaro, Alcântara"
4500,"Apartamento T3 na Rua Giestal, Junqueira, Alcântara",https://www.idealista.pt/imovel/34813409/,T3,189,"Rua Giestal, Junqueira, Alcântara"
1400,"Apartamento T2 na Rua Aliança Operária, 56, Alto de Alcântara, Alcântara",https://www.idealista.pt/imovel/34817532/,T2,60,"Rua Aliança Operária, 56, Alto de Alcântara, Alcântara"
1350,"Apartamento T2 na Rua do Alvito, 106, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/34361525/,T2,69,"Rua do Alvito, 106, Alvito - Quinta do Jacinto, Alcântara"
2400,"Apartamento T3 na Rua de Cascais, 31, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34723649/,T3,140,"Rua de Cascais, 31, Largo do Calvário - Lx Factory, Alcântara"
1500,"Apartamento T1,  Calçada Santo Amaro, s/n, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34628334/,T1,60,
1350,"Apartamento T2 na Rua Luís de Camões, 90, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34040628/,T2,48,"Rua Luís de Camões, 90, Alto de Santo Amaro, Alcântara"
1350,"Apartamento T2 em Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34835344/,T2,50,
1100,"Apartamento T2 na Rua Cruz a Alcântara, 36, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/33157926/,T2,42,"Rua Cruz a Alcântara, 36, Alvito - Quinta do Jacinto, Alcântara"
1250,"Apartamento T3 na Rua Aliança Operária, 27, Alto de Alcântara, Alcântara",https://www.idealista.pt/imovel/34793579/,T3,100,"Rua Aliança Operária, 27, Alto de Alcântara, Alcântara"
950,"Apartamento T1 na Rua Indústria, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/30166333/,T1,60,"Rua Indústria, Alto de Santo Amaro, Alcântara"
1200,"Apartamento T1 na Rua dos Lusíadas, 10, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/31948621/,T1,56,"Rua dos Lusíadas, 10, Largo do Calvário - Lx Factory, Alcântara"
1200,"Apartamento T1 na Rua dos Lusíadas, 10, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34797929/,T1,56,"Rua dos Lusíadas, 10, Largo do Calvário - Lx Factory, Alcântara"
1500,"Apartamento T2 na Rua da Cruz a Alcântara, 31, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/34700798/,T2,35,"Rua da Cruz a Alcântara, 31, Alvito - Quinta do Jacinto, Alcântara"
1250,"Apartamento T1,  Calçada da Tapada, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34861334/,T1,10,
1550,"Apartamento T2 na Rua Rodrigues de Faria, 57, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34553748/,T2,55,"Rua Rodrigues de Faria, 57, Largo do Calvário - Lx Factory, Alcântara"
1400,"Apartamento T1,  Calçada da Tapada, 43, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/29983186/,T1,78,
1400,"Apartamento T2 na Rua Sá de Miranda, 1, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34858949/,T2,70,"Rua Sá de Miranda, 1, Alto de Santo Amaro, Alcântara"
1350,"Apartamento T1,  Calçada da Tapada, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34858430/,T1,10,
1450,"Apartamento T1,  Calçada da Tapada, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34858429/,T1,10,
1350,"Apartamento T1,  Calçada da Tapada, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34858388/,T1,10,
1125,"Apartamento T0 na Travessa Artur Lamas, s/n, Junqueira, Alcântara",https://www.idealista.pt/imovel/34858234/,T0,40,"Travessa Artur Lamas, s/n, Junqueira, Alcântara"
4500,"Apartamento T4 na Rua Luís de Camões, 102, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34857967/,T4,300,"Rua Luís de Camões, 102, Alto de Santo Amaro, Alcântara"
1800,"Apartamento T2 na Rua dos Lusíadas, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34855647/,T2,86,"Rua dos Lusíadas, Alto de Santo Amaro, Alcântara"
1600,"Apartamento T2 na Rua Rodrigues de Faria, 80, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34180446/,T2,60,"Rua Rodrigues de Faria, 80, Largo do Calvário - Lx Factory, Alcântara"
950,"Apartamento T1 na Travessa de São Jerónimo, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/34851984/,T1,45,"Travessa de São Jerónimo, Alvito - Quinta do Jacinto, Alcântara"
1600,"Apartamento T2 em Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34851573/,T2,105,
2300,"Apartamento T3 na Rua da Junqueira, Junqueira, Alcântara",https://www.idealista.pt/imovel/34851213/,T3,120,"Rua da Junqueira, Junqueira, Alcântara"
2000,"Apartamento T2,  ., s/n, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34851150/,T2,75,
1800,"Apartamento T2 na Rua Aliança Operária, 1, Alto de Alcântara, Alcântara",https://www.idealista.pt/imovel/34846237/,T2,93,"Rua Aliança Operária, 1, Alto de Alcântara, Alcântara"
2500,"Apartamento T3 na Rua de Cascais, 31, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/34826063/,T3,142,"Rua de Cascais, 31, Largo do Calvário - Lx Factory, Alcântara"
2310,"Apartamento T3 na Rua de Cascais, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/imovel/33803230/,T3,116,"Rua de Cascais, Largo do Calvário - Lx Factory, Alcântara"
